,Datetime,hr_elec_price,hour,day,day_of_week,month,year,is_weekend,season,is_holiday,price_lag_1h,price_lag_24h,rolling_mean_3h,rolling_std_3h,rolling_mean_24h,rolling_std_24h,price_change_1h,price_change_24h
1180,2022-02-19 04:00:00,82.57,4,19,5,2,2022,True,Winter,False,77.2,116.52,85.94333333333323,10.831409572768582,143.74041666666668,37.46816578970428,5.36999999999999,-33.95
1181,2022-02-19 05:00:00,96.6,5,19,5,2,2022,True,Winter,False,82.57,119.09,85.45666666666655,10.016967272236732,142.8033333333333,38.38158533403044,14.030000000000001,-22.49000000000001
1182,2022-02-19 06:00:00,111.99,6,19,5,2,2022,True,Winter,False,96.6,140.99,97.05333333333323,14.715238133753909,141.595,38.89422210358904,15.39,-29.000000000000014
1183,2022-02-19 07:00:00,136.4,7,19,5,2,2022,True,Winter,False,111.99,185.05,114.99666666666656,20.06962962620689,139.56791666666666,37.782860846311216,24.41000000000001,-48.650000000000006
1184,2022-02-19 08:00:00,138.97,8,19,5,2,2022,True,Winter,False,136.4,189.28,129.1199999999999,14.890564126312212,137.47166666666666,36.27019924983897,2.569999999999993,-50.31
1185,2022-02-19 09:00:00,169.88,9,19,5,2,2022,True,Winter,False,138.97,173.24,148.41666666666654,18.632155896009156,137.33166666666668,36.13235640959464,30.909999999999997,-3.3600000000000136
1186,2022-02-19 10:00:00,140.7,10,19,5,2,2022,True,Winter,False,169.88,150.0,149.84999999999988,17.36804249188315,136.94416666666666,36.040339948771546,-29.180000000000007,-9.300000000000011
1187,2022-02-19 11:00:00,131.78,11,19,5,2,2022,True,Winter,False,140.7,138.0,147.45333333333323,19.927572188633185,136.685,36.05477849292299,-8.919999999999987,-6.219999999999999
1188,2022-02-19 12:00:00,120.84,12,19,5,2,2022,True,Winter,False,131.78,139.99,131.10666666666657,9.947106782032293,135.88708333333332,36.19010379733868,-10.939999999999998,-19.150000000000006
1189,2022-02-19 13:00:00,82.65,13,19,5,2,2022,True,Winter,False,120.84,135.4,111.75666666666656,25.793786719539895,133.68916666666667,37.78753692821583,-38.19,-52.75
1190,2022-02-19 14:00:00,60.97,14,19,5,2,2022,True,Winter,False,82.65,141.07,88.15333333333324,30.31203116475476,130.35166666666666,40.544082039252274,-21.680000000000007,-80.1
1191,2022-02-19 15:00:00,76.07,15,19,5,2,2022,True,Winter,False,60.97,144.14,73.22999999999989,11.1155206805484,127.51541666666667,41.89595663578234,15.099999999999994,-68.07
1192,2022-02-19 16:00:00,81.74,16,19,5,2,2022,True,Winter,False,76.07,151.59,72.92666666666656,10.735857363668343,124.605,42.57154989977907,5.670000000000002,-69.85000000000001
1193,2022-02-19 17:00:00,107.45,17,19,5,2,2022,True,Winter,False,81.74,156.84,88.41999999999989,16.722526722948658,122.54708333333332,42.13709823474725,25.710000000000008,-49.39
1194,2022-02-19 18:00:00,152.36,18,19,5,2,2022,True,Winter,False,107.45,190.0,113.84999999999991,35.742357225003886,120.97874999999999,40.17201495227613,44.91000000000001,-37.639999999999986
1195,2022-02-19 19:00:00,170.15,19,19,5,2,2022,True,Winter,False,152.36,200.0,143.3199999999999,32.31274825823162,119.735,38.023743154482695,17.789999999999992,-29.849999999999994
1196,2022-02-19 20:00:00,159.01,20,19,5,2,2022,True,Winter,False,170.15,192.2,160.50666666666658,8.988939499919963,118.35208333333333,35.81289930095561,-11.140000000000015,-33.19
1197,2022-02-19 21:00:00,141.83,21,19,5,2,2022,True,Winter,False,159.01,178.03,156.99666666666656,14.266945480137416,116.84375,33.90147076615556,-17.17999999999998,-36.19999999999999
1198,2022-02-19 22:00:00,157.87,22,19,5,2,2022,True,Winter,False,141.83,154.0,152.90333333333322,9.60671293071695,117.005,34.09453978979722,16.039999999999992,3.8700000000000045
1199,2022-02-19 23:00:00,121.43,23,19,5,2,2022,True,Winter,False,157.87,146.86,140.37666666666658,18.263420636156205,115.94541666666667,33.51662805743416,-36.44,-25.430000000000007
1200,2022-02-20 00:00:00,104.38,0,20,6,2,2022,True,Winter,False,121.43,88.93,127.89333333333325,27.32445851857176,116.58916666666666,33.12122686194435,-17.05000000000001,15.449999999999989
1201,2022-02-20 01:00:00,99.9,1,20,6,2,2022,True,Winter,False,104.38,77.24,108.5699999999999,11.36011883739657,117.53333333333335,32.26260248089706,-4.47999999999999,22.66000000000001
1202,2022-02-20 02:00:00,98.67,2,20,6,2,2022,True,Winter,False,99.9,98.06,100.98333333333323,3.0052010470331285,117.55875000000002,32.24683069192566,-1.230000000000004,0.6099999999999994
1203,2022-02-20 03:00:00,90.65,3,20,6,2,2022,True,Winter,False,98.67,77.2,96.40666666666657,5.023209465379585,118.11916666666666,31.625836014609867,-8.019999999999996,13.450000000000003
1204,2022-02-20 04:00:00,88.43,4,20,6,2,2022,True,Winter,False,90.65,82.57,92.58333333333324,5.3868110541461105,118.36333333333334,31.36095823550489,-2.219999999999999,5.860000000000014
